BackMountKrew,20,15533,2,音樂人,花蓮縣,1
BackMountKrew,20,15533,2,音樂人,花蓮縣,1
ape101129,14,207,56,認證音樂人,苗栗縣,1
kaorecords,21,3332,16,音樂人,None,1
TinTenTan,14,17318,12,音樂人,新北市,1
hustlecrew330,23,155,5,音樂人,桃園市,1
Lewis_chill,1,59,9,音樂人,新竹縣,1
ENWHY,5,76,79,音樂人,臺北市,1
6XT7,7,332,0,音樂人,美國,1
tsengsean,7,40,5,音樂人,新北市,1
depbread,2,151,2,音樂人,臺北市,1
Vilen1222,3,302,8,音樂人,屏東縣,1
coujfever,1,215,0,音樂人,北京,1
Chen_ni,1,39,4,音樂人,臺北市,1
Hobrewblu,15,102,2,音樂人,桃園市,1
softlipa,34,38149,143,音樂人,臺北市,1
vbnm1231,4,461,1,音樂人,新竹市,1
somemusic,4,78,0,音樂人,None,1
redleey_3,5,1274,7,音樂人,新北市,1
dcdessy,9,380,2,音樂人,香港,1
gaojiafeng,16,1083,4,音樂人,上海,1
andung1220,17,11449,2,音樂人,臺東縣,1
ShikinRollin,5,741,4,音樂人,臺北市,1
peach_jaye_23,27,9426,15,認證音樂人,臺北市,1
csimusic,2,35,3,音樂人,基隆市,1
Hupesoftman,39,807,61,認證音樂人,臺北市,1
banyangang,59,3942,16,音樂人,臺南市,1
Charleschang,1,13,13,音樂人,新北市,1
sync_with_me,4,15,17,音樂人,臺北市,1
look850802,5,1633,5,音樂人,臺北市,1
chord76415,3,6913,60,音樂人,南投縣,1
Chih1012,6,359,20,音樂人,臺北市,1
aquariusboys,3,183,4,音樂人,新北市,1
Chenmax0,6,367,12,認證音樂人,臺北市,1
Shouttttttt,1,90,11,音樂人,臺中市,1
patrickjohnlu,8,82,2,音樂人,臺北市,1
wesley753951,5,89,3,音樂人,臺北市,1
linyuchang,17,910,13,認證音樂人,臺北市,1
yung_chiao,11,161,46,音樂人,臺北市,1
elimlee,3,32,41,音樂人,臺北市,1
LoadingStory_Official,5,446,6,音樂人,臺北市,1
aka_lulu,1,43,62,音樂人,高雄市,1
kailun0409,2,12,0,音樂人,臺中市,1
ByronHsu,2,15,10,音樂人,臺北市,1
zac60422,58,966,81,認證音樂人,新北市,1
nabeyaki_egg_noodles,1,64,0,音樂人,新北市,1
stone1024,5,46,0,音樂人,臺東縣,1
tyntseng,7,102,45,認證音樂人,臺北市,1
BaconSlap,5,159,2,音樂人,臺北市,1
CuifengWizard54,6,239,29,認證音樂人,基隆市,1
KEEEEEEXI,3,62,0,音樂人,廣東,1
johnnnnnn,22,1791,49,認證音樂人,新北市,1
Bear_fan,12,224,36,認證音樂人,基隆市,1
longhumen,1,272,0,音樂人,基隆市,1
DUF,25,2418,16,認證音樂人,新北市,1
Zoethechef,1,122,1,音樂人,臺中市,1
proaknpunnz,14,49,4,音樂人,臺中市,1
Chancharlie_,5,66,27,音樂人,香港,1
Fourmula_band,10,380,0,認證音樂人,臺北市,1
gabuiui,15,271,25,認證音樂人,臺北市,1
nooovaaa,4,39,0,音樂人,臺北市,1
noisy_haze_dd,1,109,0,音樂人,貴州,1
DJGround,3,99,17,音樂人,臺北市,1
ourshame92,12,7727,38,認證音樂人,臺北市,1
yu0965160616,1,62,0,音樂人,新北市,1
ill_mo,8,2758,4,認證音樂人,臺北市,1
mcdouble8,2,336,0,音樂人,臺北市,1
ZEO_WATER,23,4289,7,音樂人,高雄市,1
ryota_katayama,13,305,12,音樂人,馬來西亞,1
wc109101065,2,4210,52,認證音樂人,臺北市,1
SouthVibe,8,159,0,音樂人,None,1
wop81,7,191,10,音樂人,高雄市,1
howeazy242,16,9071,16,音樂人,新北市,1
tristanw711kb,1,17,4,音樂人,基隆市,1
shawn_39,6,234,5,音樂人,苗栗縣,1
yxl0730nobody,5,2821,92,音樂人,桃園市,1
dc912001,2,127,10,音樂人,臺北市,1
hu999123,22,874,24,音樂人,桃園市,1
primary,7,166,0,音樂人,新北市,1
HsuD_official,9,238,19,認證音樂人,臺北市,1
murkyghost,8,1035,44,認證音樂人,臺北市,1
voxplay,26,688,6,音樂人,臺北市,1
obiwan1103,32,4444,0,認證音樂人,桃園市,1
david07chiu,4,44,6,音樂人,新北市,1
liangfu2017,33,917,72,音樂人,新北市,1
warconvict,25,1715,0,音樂人,臺北市,1
depositionclub,10,120,3,音樂人,臺北市,1
superten0910,32,12489,63,音樂人,新北市,1
Rapguy,11,5219,0,認證音樂人,臺北市,1
StevenYW,27,731,12,認證音樂人,高雄市,1
BoogieTim,3,223,11,認證音樂人,屏東縣,1
datsdashit,44,1483,33,認證音樂人,臺北市,1
PoC,13,123,5,認證音樂人,新北市,1
simonfromlantown,27,331,11,音樂人,宜蘭縣,1
ah_shu_shu,1,52,12,音樂人,新北市,1
wecynicalboyz,29,1294,0,音樂人,臺中市,1
gordon4x,15,3765,44,認證音樂人,香港,1
sunriz,1,357,16,音樂人,臺北市,1
mixtlabmusic777,1,26,0,音樂人,臺中市,1
chinggsquadofficial,4,1884,0,音樂人,臺北市,1
24prbl,19,575,19,認證音樂人,臺東縣,1
asd8983530,3,332,13,音樂人,新北市,1
FormoSir,3,83,2,音樂人,臺北市,1
NCCU_heyin,7,5211,31,音樂人,臺北市,1
Rommyrollin,5,256,2,認證音樂人,屏東縣,1
fushoustreet,5,72,8,音樂人,新北市,1
jinjin823,3,356,56,音樂人,宜蘭縣,1
yellowhippy420,51,1755,11,認證音樂人,臺中市,1
nononsensecollective,7,7473,27,音樂人,臺北市,1
nauhuang,8,1313,8,認證音樂人,臺北市,1
keynocee,5,562,0,認證音樂人,臺北市,1
angry_youth,23,5381,0,音樂人,臺北市,1
funones,10,125,0,音樂人,臺北市,1
k87000214,8,381,56,認證音樂人,南投縣,1
Mac_Ju,4,17,5,音樂人,臺北市,1
Swannnn,2,57,9,音樂人,臺北市,1
tripoets,34,2253,323,認證音樂人,臺北市,1
liulewie,13,2209,52,音樂人,北京,1
Leepa,11,108,18,認證音樂人,臺中市,1
solomomliu,17,601,2,音樂人,桃園市,1
rhyan6_from_daan,1,35,3,音樂人,臺北市,1
Thehopend,31,7657,2,認證音樂人,屏東縣,1
icy_fire_z1,6,164,47,認證音樂人,屏東縣,1
Lowkingofficial,29,198,97,認證音樂人,花蓮縣,1
Neahlun,1,68,5,音樂人,臺北市,1
lil_giant,4,168,104,音樂人,臺北市,1
k4990878,2,209,12,音樂人,新北市,1
