音樂人 ID,音樂數,粉絲人數,追蹤中人數,身分(音樂人/認證音樂人),居住地,type
Lusanic,9,19,1,音樂人,美國,1
HsuD_official,9,236,19,認證音樂人,臺北市,1
steve86111027,4,52,1,音樂人,臺南市,1
itsyourfault,17,7131,1,認證音樂人,臺北市,1
liangfu2017,33,915,72,音樂人,新北市,1
wohkooler,1,167,48,認證音樂人,臺北市,1
primary,7,166,0,音樂人,新北市,1
keynocee,5,553,0,認證音樂人,臺北市,1
aquariusboys,3,183,4,音樂人,新北市,1
h2o1996,1,1352,48,認證音樂人,臺南市,1
wenti311,29,23,2,音樂人,北京,1
kireyung,25,1530,0,認證音樂人,新北市,1
eric198853,54,3606,12,認證音樂人,臺北市,1
hlctim901107,5,184,1,認證音樂人,花蓮縣,1
david07chiu,4,40,6,音樂人,新北市,1
gabuiui,15,267,25,認證音樂人,臺北市,1
birstyle236016,5,257,10,認證音樂人,宜蘭縣,1
errorfrequency,37,840,42,認證音樂人,臺北市,1
dropp,39,238,15,認證音樂人,美國,1
OFF_THE_RECORD_official,35,107,0,音樂人,臺北市,1
HandyLee,8,166,36,認證音樂人,桃園市,1
noisy_haze_dd,1,109,0,音樂人,貴州,1
NICETIM,7,110,4,認證音樂人,臺北市,1
Hungyulin,23,2863,11,認證音樂人,新北市,1
stone1024,5,45,0,音樂人,臺東縣,1
patrickjohnlu,8,82,2,音樂人,臺北市,1
Fourmula_band,6,347,0,認證音樂人,臺北市,1
R4ly,1,55,4,音樂人,新北市,1
wayneband2019,5,963,0,音樂人,臺北市,1
ProgressiveGuava,1,36,6,音樂人,臺北市,1
oddiiiiiwu,2,78,3,音樂人,桃園市,1
Mac_Ju,2,14,4,音樂人,臺北市,1
ill_mo,8,2753,3,認證音樂人,臺北市,1
xzherman2227,6,254,5,音樂人,新北市,1
wesley753951,5,88,3,音樂人,臺北市,1
lonelygame,9,159,3,音樂人,高雄市,1
Acedalan,3,85,12,音樂人,新竹縣,1
DUF,25,2404,16,認證音樂人,新北市,1
fushoustreet,5,72,8,音樂人,新北市,1
rennnnnn_____,4,387,11,認證音樂人,彰化縣,1
Jabbertu,6,6533,58,音樂人,臺中市,1
solomomliu,17,598,1,音樂人,桃園市,1
luhongzhi,11,23,9,音樂人,桃園市,1
thaeiht1,9,683,4,音樂人,臺北市,1
minsta,33,127,0,音樂人,福建,1
chord76415,3,6903,60,音樂人,南投縣,1
lil_happy_lif3,10,683,71,音樂人,新北市,1
Chen_ni,1,39,4,音樂人,臺北市,1
everfor,15,2355,12,音樂人,臺北市,1
hazenk1ng,9,388,5,認證音樂人,屏東縣,1
dennischang,14,2560,14,認證音樂人,臺北市,1
wayu_woys,1,253,23,認證音樂人,臺南市,1
zz045849,1,30,9,音樂人,桃園市,1
BoogieTim,3,222,11,認證音樂人,屏東縣,1
tyntseng,7,97,44,音樂人,臺北市,1
KaoLin,11,500,13,音樂人,彰化縣,1
jien00008,26,2457,25,音樂人,新北市,1
85youngdope,19,124,85,認證音樂人,雲林縣,1
ShikinRollin,5,730,4,音樂人,臺北市,1
wc109101065,1,3028,50,認證音樂人,臺北市,1
s880606,20,11204,43,音樂人,臺北市,1
Johnchen4real,5,165,9,音樂人,苗栗縣,1
ENWHY,5,76,78,音樂人,臺北市,1
FRENZY_OMEGA,1,238,19,音樂人,新北市,1
m870925,11,102,29,音樂人,臺中市,1
flexkidz,19,124,3,音樂人,臺北市,1
cemelesaistudio,3,376,0,音樂人,臺東縣,1
liulewie,13,2197,52,音樂人,北京,1
kaorecords,21,3315,16,音樂人,None,1
cityronin,10,8183,18,認證音樂人,其他,1
benxdevil,3,758,0,音樂人,新北市,1
multiversefam,10,2891,2,音樂人,臺中市,1
Rapguy,11,5207,0,認證音樂人,臺北市,1
rapid_dew_2mf,11,1771,0,音樂人,臺中市,1
Lowkingofficial,29,196,97,認證音樂人,花蓮縣,1
Chancharlie_,5,62,24,音樂人,香港,1
hiphoppuffs,1,43,4,音樂人,臺北市,1
8lak,1,967,0,音樂人,臺北市,1
teresa1010159,3,837,123,認證音樂人,臺南市,1
TysonYoshi,2,1317,0,音樂人,香港,1
Hard,14,1410,33,認證音樂人,高雄市,1
chang_wu,15,613,0,認證音樂人,臺中市,1
kailun0409,2,12,0,音樂人,臺中市,1
Andy970029,1,188,27,認證音樂人,臺北市,1
k4990878,2,203,12,音樂人,新北市,1
tsengsean,7,40,5,音樂人,新北市,1
BaconSlap,5,158,2,音樂人,臺北市,1
Dean829,8,912,15,認證音樂人,花蓮縣,1
88risingRecordsLLC,28,8490,0,音樂人,美國,1
thecrane,7,3603,9,認證音樂人,臺北市,1
csimusic,2,37,3,音樂人,基隆市,1
redleey_3,5,1260,6,音樂人,臺北市,1
13lefty,2,236,19,認證音樂人,臺中市,1
Rommyrollin,4,227,2,認證音樂人,屏東縣,1
Karz99,4,169,41,認證音樂人,新竹市,1
Hao526,3,650,1,音樂人,新北市,1
dsa265302,2,44,6,音樂人,苗栗縣,1
Piper_peng,9,151,0,音樂人,嘉義市,1
brucexingyuliu,8,81,5,音樂人,美國,1
ComradeXiangyu,15,293,7,音樂人,新北市,1
doojay98,10,1453,30,音樂人,馬來西亞,1
Tsuei_Man_Show,2,86,0,音樂人,臺北市,1
yiting_chang_,2,2470,4,認證音樂人,臺北市,1
shawn_39,6,231,5,音樂人,苗栗縣,1
LexieLiu,14,8770,0,音樂人,北京,1
whynot2020,17,102,2,音樂人,臺中市,1
AgustinShen,1,72,33,音樂人,桃園市,1
doublejam,2,212,3,認證音樂人,新北市,1
TaiwanSouthsidePintung,9,70,3,音樂人,屏東縣,1
zealots_45,1,300,0,音樂人,臺北市,1
voxplay,26,687,6,音樂人,臺北市,1
chenz,28,122,73,認證音樂人,高雄市,1
chinggsquadofficial,4,1874,0,音樂人,臺北市,1
nooovaaa,4,37,0,音樂人,臺北市,1
Wei_2theSheng,8,24,4,音樂人,臺南市,1
jamesjohanneschan,49,790,15,音樂人,臺南市,1
wring_out_laura,40,182,28,認證音樂人,臺北市,1
jinjin823,3,345,55,音樂人,宜蘭縣,1
Jinboismyname,24,1048,4,認證音樂人,臺北市,1
proaknpunnz,4,43,3,音樂人,臺中市,1
see_u_hong,9,2973,0,認證音樂人,臺北市,1
dachen223,23,5436,17,認證音樂人,屏東縣,1
catsonslide2019,15,395,8,音樂人,新北市,1
rhyan6_from_daan,1,34,3,音樂人,臺北市,1
rebecca1015,2,155,7,音樂人,臺北市,1
tang0316,2,678,1,認證音樂人,新北市,1
ourshame92,13,7656,38,認證音樂人,臺北市,1
3r2music,9,357,4,音樂人,臺北市,1
dinlow,28,407,135,認證音樂人,臺北市,1
caotunboy,16,719,0,音樂人,南投縣,1
enzokilla,3,64,8,音樂人,桃園市,1
Red_pimp,11,162,3,音樂人,臺東縣,1
KEEEEEEXI,3,62,0,音樂人,廣東,1
damp_meadow_qhn,4,308,12,音樂人,臺北市,1
Vout,1,84,3,音樂人,新竹市,1
soundof2percent,5,181,25,音樂人,臺北市,1
Zoethechef,1,120,1,音樂人,臺中市,1
shu05229970,21,10695,35,認證音樂人,臺北市,1
ann98615189,2,41,5,音樂人,臺北市,1
joeyhuang,12,1671,37,認證音樂人,臺北市,1
idan1111,3,26,3,音樂人,高雄市,1
ZEO_WATER,23,4275,7,音樂人,高雄市,1
analogbiiitch,1,168,4,音樂人,臺北市,1
AA320,1,598,0,認證音樂人,臺北市,1
howeazy242,16,8967,16,音樂人,新北市,1
leowangmorrison,31,14263,0,音樂人,臺北市,1
warconvict,25,1710,0,音樂人,臺北市,1
The_Time,11,104,4,認證音樂人,台灣,1
QueenQuinn,34,574,0,音樂人,臺北市,1
faibaofibo,11,451,22,音樂人,新北市,1
Coleskuanyu,4,76,18,音樂人,新竹市,1
linyuchang,17,904,13,認證音樂人,臺北市,1
Lipzeo,63,33,1,音樂人,高雄市,1
Sophiehu,4,429,17,音樂人,臺北市,1
rapsberry,3,148,0,音樂人,臺中市,1
Yocho_Official,24,39,5,音樂人,上海,1
Chill_Bros,9,519,3,音樂人,臺北市,1
BackMountKrew,20,15467,2,音樂人,花蓮縣,1
gordon4x,15,3714,44,認證音樂人,香港,1
yu0965160616,1,62,0,音樂人,新北市,1
jk911022,16,167,33,音樂人,高雄市,1
kkee12345,5,37,28,音樂人,新北市,1
obscureorchestra,3,33,2,音樂人,澳大利亞,1
shoumethemoneyxx,7,5540,0,認證音樂人,花蓮縣,1
s4203871017,9,669,12,認證音樂人,臺北市,1
vbnm1231,4,461,1,音樂人,新竹市,1
ByronHsu,2,15,10,音樂人,臺北市,1
huangdachien,5,8515,0,音樂人,新北市,1
nauhuang,6,1109,8,認證音樂人,臺北市,1
johnnnnnn,22,1782,49,認證音樂人,新北市,1
GIGO_psycho,1,772,1,音樂人,臺中市,1
wavegoat98,10,108,0,音樂人,臺北市,1
smy714,11,1759,2,認證音樂人,新北市,1
yen1982,175,1283,69,認證音樂人,新北市,1
peach_jaye_23,26,8789,15,認證音樂人,臺北市,1
yellowhippy420,51,1715,10,認證音樂人,臺中市,1
Marz23,12,12904,1,認證音樂人,臺北市,1
ryota_katayama,13,304,12,音樂人,馬來西亞,1
zenbothasizip,13,1142,33,認證音樂人,臺北市,1
NightZ,3,8,7,音樂人,新北市,1
tripoets,34,2245,323,認證音樂人,臺北市,1
itisIsey,22,746,14,認證音樂人,臺北市,1
ShadowProject,23,5375,0,認證音樂人,高雄市,1
hitdondon,16,2044,0,認證音樂人,高雄市,1
falavanapperxxx,1,18,0,音樂人,臺中市,1
Charleschang,1,11,11,音樂人,新北市,1
jnco,17,1755,30,音樂人,美國,1
mssdrbeauty,2,1223,0,認證音樂人,臺北市,1
depositionclub,10,119,3,音樂人,臺北市,1
ntuthiphop,1,43,0,音樂人,臺北市,1
fancy_sun_jo,3,487,4,音樂人,臺中市,1
anti_talent,7,6324,20,認證音樂人,花蓮縣,1
wayofpuzzle,11,5562,21,音樂人,高雄市,1
vincent_hsu,7,252,5,認證音樂人,新北市,1
pennywhy,5,146,14,音樂人,新竹市,1
outlander,1,1069,3,認證音樂人,臺北市,1
homerich_918,15,53,1,音樂人,臺中市,1
FormoSir,3,82,2,音樂人,臺北市,1
_xxslowly34,11,1958,56,認證音樂人,新竹縣,1
catwei,9,189,1,音樂人,臺南市,1
Shouttttttt,1,89,11,音樂人,臺中市,1
softlipa,34,37870,143,音樂人,臺北市,1
Pony5ibe,13,3340,1,音樂人,桃園市,1
GummyBBB,12,3843,37,認證音樂人,臺北市,1
StevenYW,27,727,12,認證音樂人,高雄市,1
GavinOTK4L,2,47,6,音樂人,苗栗縣,1
xddd0524,6,205,6,音樂人,花蓮縣,1
depbread,2,151,2,音樂人,臺北市,1
TheAndyShow,6,83,9,音樂人,臺北市,1
placebo_ct,12,855,11,認證音樂人,新北市,1
51weeeeeeeeee,44,376,98,認證音樂人,新北市,1
Leewei69,7,2108,5,認證音樂人,臺中市,1
DizzyDizzo,2,123,0,音樂人,台灣,1
murkyghost,8,1021,44,認證音樂人,臺北市,1
Onstudio,41,9336,30,音樂人,臺北市,1
William_ROLLyal,11,614,0,音樂人,臺中市,1
sandwichfail,16,6327,0,認證音樂人,臺南市,1
Leepa,4,97,18,音樂人,臺中市,1
eijitao1110,15,659,10,音樂人,基隆市,1
happy2031451,25,763,29,認證音樂人,臺北市,1
jyinthahouse,30,409,1,音樂人,南投縣,1
coujfever,1,212,0,音樂人,北京,1
left7792,38,37634,12,認證音樂人,新北市,1
ntu_hiphop,19,873,0,音樂人,臺北市,1
mond121207,5,1952,3,音樂人,基隆市,1
1pfani,11,310,42,認證音樂人,新北市,1
Hupesoftman,39,807,60,認證音樂人,臺北市,1
tigtheirongiant,9,2387,15,音樂人,臺北市,1
PoC,13,122,5,認證音樂人,新北市,1
_pe630arl,2,4975,22,音樂人,臺北市,1
kuanurboi,24,722,69,認證音樂人,新北市,1
Y_c,4,389,0,認證音樂人,高雄市,1
sync_with_me,4,15,17,音樂人,臺北市,1
