eunicepng,207490,1660,22,0,ACG,2014-02-12
YoungLee337,585779,330,21,1,Hip hop / Rap,2019-06-27
Alleysmusic,543246,258,6,0,Singer / Songwriter,2017-12-03
paleeedot,621910,1479,99,49,Alternative,2020-08-29
Lick,622531,31,3,0,Hip hop / Rap,2020-09-05
schrodingerscat,590937,2473,80,4,Post rock,2019-08-09
svradio,655935,419,26,8,Hip hop / Rap,2021-08-04
Fierymace,637339,1334,69,30,Rock,2021-03-06
fiftybodyfifty,595102,4545,135,5,Rock,2019-09-28
tainakanchu,627118,14,1,4,Electronic,2020-10-31
WarmWall,526877,2430,59,1,Alternative,2017-09-18
dolbe,15704,440,7,0,Jazz,2007-03-20
Zshiuan,575769,12667,428,13,Folk,2019-03-04
NANMEN,140610,19282,170,5,Hip hop / Rap,2011-04-29
rule1230,364200,9916,287,11,Singer / Songwriter,2016-02-26
blacksweetchild,418790,1228,26,0,Pop,2017-04-06
dishpresto,107086,16,1,0,Pop,2010-03-12
hanle,25103,79,2,0,Pop,2007-08-29
Wildodio,576641,435,16,5,Hip hop / Rap,2019-03-10
lusergang,605233,13,1,0,R&B / Soul,2020-02-15
apyoungun,41139,3631,40,0,Hip hop / Rap,2008-04-23
Tek,29189,97,5,0,Folk,2007-11-04
TonyYEH,614133,185,5,1,Hip hop / Rap,2020-05-23
makemake_band,629380,10816,365,131,Metal,2020-12-03
staycool,137009,21013,220,3,Folk,2011-03-10
yoyo1998,632522,66,11,7,Hip hop / Rap,2021-01-09
zos,665007,17287,721,135,Folk,2021-11-12
monix,74974,53,2,0,Hip hop / Rap,2009-04-17
semitune,91073,69,2,0,Classical,2009-09-09
ppwangg,609712,3580,140,21,Pop,2020-03-29
jethop,117385,21,2,0,Hip hop / Rap,2010-07-12
sevenjoys,518731,4390,91,1,Alternative,2017-08-24
santaklaus,109859,2124,45,0,Blues,2010-04-14
nckn,678798,127360,3638,432,Folk,2022-03-28
william810,579478,64019,1099,36,Singer / Songwriter,2019-04-10
thebandisland,356532,2940,56,0,Alternative,2015-11-10
imdifficult,562008,1320,43,6,Alternative,2018-07-30
Theseus_tw,580582,39661,1121,11,Alternative,2019-04-27
normalweekends,615172,2444,101,43,Pop,2020-06-04
holy_mode_q5,583311,165,15,0,Hip hop / Rap,2019-05-30
aaasi,600131,82387,2544,62,Pop,2019-12-06
4B_,636686,104,2,0,Hip hop / Rap,2021-02-28
fromhush,152045,40551,226,3,Rock,2011-09-29
hollyloutaiwan,373284,12922,492,1,Electronic,2016-08-02
Mango_Street_Papa,618063,2138,92,16,Pop,2020-07-09
HelloNico,556170,156280,4272,73,Alternative,2018-05-15
janlin0116,212968,36561,465,5,Pop,2014-04-28
theforest,187261,73531,2315,61,Folk,2013-02-27
chopurmind,72612,1442,77,6,Hip hop / Rap,2009-03-24
imeanusband,473837,21702,606,2,Pop,2017-04-21
zycozycozyco,544496,9044,244,28,Rock,2017-12-17
Theseus_tw,472031,60853,1356,25,Alternative,2017-04-14
sunsetorrise,566854,5310,157,3,Pop,2018-10-11
sophie82921,368497,39868,1099,24,Singer / Songwriter,2016-04-30
uiop8621,660397,4,1,0,Hip hop / Rap,2021-09-14
schrodingerscat,548700,2417,104,4,Post rock,2018-02-19
jumprock0816,331027,2288,77,3,Pop,2015-05-13
ChineseFootball,408060,4780,252,13,Rock,2017-03-23
Ricky_Hsu,643272,165,13,7,Alternative,2021-04-19
yoztiger,187414,1306,5,0,Electronic,2013-03-02
ihung,362205,1183,6,0,Pop,2016-01-05
as2008asd,571725,613,40,1,Hip hop / Rap,2019-01-01
longnek,543908,2021,25,1,R&B / Soul,2017-12-10
a23630117,667570,28,2,2,Hip hop / Rap,2021-12-18
semitune,71441,200,5,0,Classical,2009-03-15
jcfc,134257,562,9,0,Classical,2011-02-04
breedmysoul,658537,22,2,0,Rock,2021-08-26
zitanrunrun,555339,2112,100,5,Pop,2018-05-01
wangleewangleeno1,603968,2374,84,8,Rock,2020-01-29
leeky37,94883,1979,24,0,Jazz,2009-10-25
shaohaomusic,504992,2029,64,3,Singer / Songwriter,2017-07-20
jimmy1983062222,32878,548,5,0,Hip hop / Rap,2007-12-29
dujuan8265,117429,65,1,0,Classical,2010-07-13
18181155713,548363,2630,109,1,Singer / Songwriter,2018-02-12
Motion,31050,187,2,0,Hip hop / Rap,2007-11-29
shonwang,120023,44,1,0,Classical,2010-08-10
c22_lab,672080,97,5,2,Soundtrack / New age,2022-02-10
chrisxxx,141174,34099,290,4,Pop,2011-05-07
thesulisclub,584855,2235,109,8,Alternative,2019-06-17
SRollercoaster,649571,3454,181,29,Alternative,2021-06-11
HelloNico,317239,368599,9313,307,Pop,2015-02-01
mcdavi,35231,27417,53,0,Pop,2008-02-02
motivbandtw,567253,5483,265,16,Rock,2018-10-19
accomplicespunx2015,568977,3062,124,21,Punk,2018-11-19
vacuumusic,576255,105403,2571,44,Folk,2019-03-07
SoulFaofficial,599747,302701,9222,758,Rock,2019-12-01
Theseus_tw,595319,15725,485,14,Alternative,2019-09-30
verygood123,157440,304,3,0,Hip hop / Rap,2011-12-12
WStethoscope,189040,13181,176,0,Folk,2013-03-28
hydbzzz3,33806,1569,14,2,Rock,2008-01-14
lpj2017,542337,1966,63,0,Folk,2017-11-22
MangoJump,634046,25589,959,375,Rock,2021-01-26
dullandsulk,579490,1364,29,1,Alternative,2019-04-10
svradio,634800,49,3,0,Folk,2021-02-17
Nudejammmmm,558074,684,29,2,Jazz,2018-06-13
KueiGun,665302,7438,257,107,Alternative,2021-11-16
tuesday,300820,50465,983,5,Electronic,2014-11-11
aniefann,102358,7486,111,5,Singer / Songwriter,2010-01-19
KarenMoore,84118,79,1,0,Folk,2009-07-15
youngstar,35380,6879,47,0,Hip hop / Rap,2008-02-04
Kasiwa,585234,10325,308,19,Rock,2019-06-21
EarlBand,618191,740,46,13,Pop,2020-07-10
BlueCollarWorker,83272,1213,23,1,Hip hop / Rap,2009-07-08
lct9238,103943,1996,14,0,Hip hop / Rap,2010-02-05
ton555,110982,216,5,0,Rock,2010-04-28
bouteille,176400,1776,14,0,Classical,2012-08-30
sadon,131851,28353,345,1,Rock,2011-01-02
thedinosaursskin,652010,68107,3030,1220,Pop,2021-06-28
Lick,607302,30,1,0,Hip hop / Rap,2020-03-08
collage7275,667876,125417,3258,892,Rock,2021-12-22
semitune,110151,93,3,0,Classical,2010-04-18
InImusic,86520,333,4,0,Hip hop / Rap,2009-08-04
grc19980803,644606,541,33,8,Hip hop / Rap,2021-05-02
WaveLight2,125358,5433,72,7,Rock,2010-10-13
nainaiband,565703,1539,42,7,Pop,2018-09-20
roadtrip,567563,1482,32,0,Alternative,2018-10-26
COLDDEW,662295,7980,293,71,Rock,2021-10-08
dlrkloc,558920,11007,446,8,Reggae / Funk,2018-06-26
downsouthboys,106049,12226,151,2,Hip hop / Rap,2010-02-28
garyu,122098,1531,18,0,Pop,2010-09-03
yuan183186,549465,8092,172,1,Folk,2018-03-01
serenadeofmemory,344349,790,21,0,Metal,2015-07-29
AWorldElsewhere,568217,3889,144,3,Rock,2018-11-08
rhapsody317,124900,731,5,1,World,2010-10-07
formosa,17312,11718,52,1,Hip hop / Rap,2007-04-14
collage7275,637467,667260,15051,4421,Rock,2021-03-08
nckn,613197,160872,4100,233,Folk,2020-05-11
mcxiao,103809,46388,357,20,Hip hop / Rap,2010-02-04
PG523,75158,40,3,0,Hip hop / Rap,2009-04-19
trancebaby,363580,16457,476,29,Pop,2016-02-09
SorryYouth,542720,29241,554,20,Alternative,2017-11-27
joysammyband,639954,1707,74,40,Singer / Songwriter,2021-03-27
Papa0524,609627,127,7,4,Hip hop / Rap,2020-03-28
jacklee0802,625495,36,3,3,Hip hop / Rap,2020-10-11
Cicadatw,538421,2660,48,0,Classical,2017-11-05
kiwif2f2f213,501057,2257,57,19,Folk,2017-07-09
flykite2015,335043,621,31,0,Pop,2015-06-04
flykite2017,488162,2676,176,0,Singer / Songwriter,2017-06-01
aa50814,79697,182,2,0,R&B / Soul,2009-06-01
iruka527,558351,30693,1015,33,Rock,2018-06-18
812537710,571524,3064,123,3,Hip hop / Rap,2018-12-29
utopia0224,171060,2670,14,0,Electronic,2012-06-21
hybs_th,670311,1173,85,17,Pop,2022-01-18
yettobeartists,605236,215,26,2,Rock,2020-02-15
joey82517,373292,8227,300,3,Singer / Songwriter,2016-08-02
hideto810006,155283,4199,53,2,Folk,2011-11-14
nononono,357928,4159,119,1,Rock,2015-11-18
Cicadatw,538441,3169,32,0,Classical,2017-11-05
SorryYouth,166857,18072,360,17,Alternative,2012-04-26
teppei9462,132551,217,2,0,Folk,2011-01-12
thesubwaybandtw,191839,1416,28,2,Pop,2013-05-16
legend_of_vessels,676826,114,10,8,Alternative,2022-03-17
cloudyclouzy,620897,42906,1035,207,Rock,2020-08-17
thestars,382239,1650,32,0,Rock,2016-11-24
listentotikchi,655548,836,32,7,R&B / Soul,2021-08-01
21st_Centry_Bored_Guys,578516,1996,46,1,Alternative,2019-03-30
n9107016,543768,3585,185,6,Rock,2017-12-08
whiteeyesonehalf,185568,1661,11,0,Electronic,2013-01-24
MajoDashin,581650,13,2,0,Singer / Songwriter,2019-05-08
TuTofficial,571503,1260,51,1,Alternative,2018-12-28
manchuker,3465,24805,120,34,Pop,2006-06-29
