Uid,Songs
bode,10008
VerityPower,646984
yangjeff0405,555162
legend_of_vessels,675658
kumarathecat,577256
anubizbeat,150791
angelo_leeric,581139
drogas,675882
telephonebooth,111711
vina1215,94173
svcollection,173664
Zone_K,607761
angelo_leeric,633356
thisisyoyo,49642
taiwankook,140097
OOPIG,666812
50hz,395116
liliumtaiwan,666755
lpj2017,542346
themajesticg,393886
electricmuse,391401
storymaker,669459
Kaleidoscope,54146
rolex,95111
Buttergarden1769,606427
bbcd1010a,360987
wenda,532471
ennogogo,126320
foxdon1029,681247
BalladMan,664078
minging27,169806
RakersL77,652735
fuermosha335305,498652
anyonesthere,644614
djvesta,63140
leegof,615126
blez,562934
dingdingshishi,62855
Cliff949,547107
william810,609468
abandjust,582304
renascimento,147338
cozydiary,159057
liliumtaiwan,207889
p23466286,509792
miss810121,606564
tomaawards,569583
danny_chiu,648869
chenyo_official,677819
nckn,571859
ElephantGym,191005
pheonixsitu,141353
sujer,81071
soulbrothers,557488
flynchong,620760
REDGORDON,16443
Young_Yu,646296
UnderU,473677
Yugi_Lu,657627
MCMTW,393681
SiriSimranKaur,602467
huangweijieweijie,567851
falsealarm,161827
jacky0977327262,656406
sun_flow,677356
fuzz_fuzz_rainbow,571698
mengtingxie,341541
goodband,337812
svradio,662344
royalaspurple,639516
utaband,280593
sparkling_rice_1cu,628044
trapmiaolit,677779
blez,581495
mintgreenmill,601010
VHF,154564
COLDDEW,579776
HelloNico,260994
Uncle_Hu,339978
chantal.music,116416
Cicadatw,569155
aska3222002,6917
jolinAA,635252
dcoliver26,632851
PrintedNoiseLab,565767
liliumtaiwan,374052
MajoDashin,575061
heatsketch,548787
gn00620357,597644
snowonacrowy,546269
chillmanband,588431
Yagutanga,568757
paulybleeonly,647554
IGUband,206349
rsimovement,85387
leonzheng,393071
achauchau,150137
huangweijieweijie,600034
leonzheng,554326
soundcard,188597
shivatrance,95495
w9injack,117046
CARCARCARS,556920
Papa0524,600404
shun_tsao,487077
Miso,501467
parkproduction,534086
wdragon1017,572849
1ts162,668436
missbac,564203
aska3222002,191622
yangjeff0405,565247
woodywoody2g,107715
leodick,601487
anyanbai,79574
thisisyoyo,662712
cchchoulala,549118
MIDNIGHTPINGPONG,377495
taylorbear,370894
hereisnoe,646334
candlekuo,612077
nagisatodoroki,306257
j0928049820,549808
legend_of_vessels,676905
heatmark,381181
ZZ23217742,663038
rohar,573686
svradio,628692
dingximusiccenter,560124
MCMTW,664544
GetPay,606133
CPlusPlus,198896
teppei9462,128058
kary0068,132289
utopia0224,340089
annechang1204,184341
Humanity_mirror,601776
singoursong2014,222089
the13band,205812
Sangpuy_SKM,374118
jumprock0816,398731
BetaGida,153741
sda850413,634050
mcxiao,168738
collage7275,602466
SavuluLawayMusic,607989
Hkpost90s,674245
pow910166,33071
Pinchill,660438
