Uid,Liked Song,ArtistUid
13lefty,675651,13lefty
13lefty,656805,Kevinchen408
13lefty,641698,evil022389
13lefty,641703,evil022389
13lefty,641701,evil022389
13lefty,485097,evil022389
13lefty,631294,evil022389
13lefty,649357,evil022389
13lefty,623676,Kevinchen408
13lefty,622759,funones
13lefty,621480,whocares2016
13lefty,617733,wearewang
13lefty,617598,g5sh
13lefty,612182,zac60422
13lefty,609627,Papa0524
13lefty,609336,zac60422
13lefty,607694,Onstudio
13lefty,607678,13lefty
13lefty,607376,zac60422
13lefty,605398,howeazy242
13lefty,600404,Papa0524
13lefty,599971,TonyYEH
13lefty,598917,zac60422
13lefty,590883,Someshit
13lefty,377123,HoRayc
13lefty,605115,whytetete
13lefty,559318,softlipa
13lefty,552531,ironhorn
1pfani,556616,ArthurShun2018
1pfani,646539,1pfani
1pfani,622274,1pfani
1pfani,622273,1pfani
1pfani,671473,GummyBBB
1pfani,672611,GummyBBB
1pfani,672009,51weeeeeeeeee
1pfani,671540,wring_out_laura
1pfani,662492,banyangang
1pfani,661634,TinTenTan
1pfani,660568,jamesjohanneschan
1pfani,660406,1pfani
1pfani,636602,shu05229970
1pfani,636598,shu05229970
1pfani,655804,jamesjohanneschan
1pfani,651934,_lh__1999
1pfani,651948,_lh__1999
1pfani,651949,_lh__1999
1pfani,653264,jamesjohanneschan
1pfani,651922,_lh__1999
1pfani,652735,RakersL77
1pfani,649929,51weeeeeeeeee
1pfani,646914,1pfani
1pfani,650146,jamesjohanneschan
1pfani,649859,jamesjohanneschan
1pfani,643982,banyangang
1pfani,643357,zac60422
1pfani,643086,shu05229970
1pfani,640849,imdifficult
1pfani,642098,itsyourfault
1pfani,641104,zac60422
1pfani,641092,zac60422
1pfani,615114,KawaSounds
1pfani,639749,Hupesoftman
1pfani,562008,imdifficult
1pfani,637784,imdifficult
1pfani,638188,Hupesoftman
1pfani,549256,murkyghost
1pfani,629127,indoor_trip
1pfani,635456,AlfaGallagher
1pfani,621517,gordon4x
1pfani,633505,ozioffcl
1pfani,621518,BURNIE
1pfani,632106,1pfani
1pfani,632195,kalabebe
1pfani,625477,TinTenTan
1pfani,583298,jamesjohanneschan
1pfani,583297,jamesjohanneschan
1pfani,583291,jamesjohanneschan
1pfani,583287,jamesjohanneschan
1pfani,620055,whu976604
1pfani,618251,Hupesoftman
1pfani,618091,shu05229970
1pfani,616084,frank_chen88688
1pfani,615604,1pfani
1pfani,615279,Hupesoftman
1pfani,615131,laytonwoohbill
1pfani,614510,itsyourfault
1pfani,614449,itsyourfault
1pfani,613805,sean842850
1pfani,612697,Bear_fan
1pfani,612926,laytonwoohbill
1pfani,612556,haowei_arno
1pfani,612182,zac60422
1pfani,612065,catsonslide2019
1pfani,609907,catsonslide2019
1pfani,609507,Hupesoftman
1pfani,608543,itsyourfault
1pfani,608116,catsonslide2019
1pfani,606122,shoumethemoneyxx
1pfani,608009,wring_out_laura
1pfani,607759,Hupesoftman
1pfani,607534,frank_chen88688
1pfani,607494,kalabebe
1pfani,604903,TWINS3388
1pfani,604125,Hupesoftman
1pfani,603202,Hupesoftman
1pfani,581510,imdifficult
1pfani,601826,yellowhippy420
1pfani,602023,1pfani
1pfani,593806,murkyghost
1pfani,599662,catsonslide2019
1pfani,599644,Hupesoftman
1pfani,598350,birstyle236016
1pfani,597448,BeatmakersTaipei
1pfani,570924,hsienchinnng
1pfani,592525,whytetete
1pfani,595551,1pfani
1pfani,595209,Hupesoftman
1pfani,595126,Hupesoftman
1pfani,594552,catsonslide2019
1pfani,594735,1pfani
1pfani,35069,jnco
1pfani,594812,Hupesoftman
1pfani,594473,catsonslide2019
1pfani,594389,Hupesoftman
