Uid,Collab Song,CollabUid
13lefty,644482,dawnofeast974
1pfani,682744,proaknpunnz
1pfani,682745,proaknpunnz
1pfani,672009,51weeeeeeeeee
1pfani,671540,wring_out_laura
1pfani,655804,jamesjohanneschan
51weeeeeeeeee,642660,WhatINeed
51weeeeeeeeee,642648,maimai1914
85youngdope,643963,baper_lab
8bkuo,649045,Onstudio
8lak,668629,Kevinchen408
970zhaozhao,672162,NICETIM
Abus18,642797,DakaMusillage
AlfaGallagher,665868,Hard
AlfaGallagher,644130,wring_out_laura
Balious,682833,Leepa
Balious,682832,Leepa
Balious,682816,Leepa
Balious,681430,Leepa
Balious,665678,icy_fire_z1
Balious,664012,Leepa
Balious,662272,Leepa
Bestards,634074,svradio
CHILLBAKA,661270,eric198853
Chenmax0,668597,tigtheirongiant
Chenmax0,646372,mxxdlife
Chih1012,668802,Jinboismyname
ChuNoodleChuNoodle,634800,svradio
Darkduckisme,680320,legend_of_vessels
Darkduckisme,680182,legend_of_vessels
Darkduckisme,677124,legend_of_vessels
Darkduckisme,676032,legend_of_vessels
Darkduckisme,675745,legend_of_vessels
Dean829,669035,3llerymusic
Dean829,662823,kuanurboi
Dizparity,637801,Sophysophyw
Fe_N,670270,A_SHENG_
FloodingBridge,666596,rekileggy
GestaltGirl,681966,svradio
GummyBBB,667588,azDNorth
HYX1113,675975,jacky0977327262
HYX1113,635713,pachila
Hao526,655536,neosoul6666
Haoceler,676055,long_bonus_m5
HsiaoLin,687814,anewanew2019
HsiaoLin,687726,hestudio0857
HsiaoLin,681563,rover00000
HsiaoLin,676491,wearenuts20201118
HsiaoLin,655000,wearenuts20201118
HsiaoLin,649215,wearenuts20201118
HsiaoLin,647520,kkee12345
HsiaoLin,645840,aquariusboys
HuiChuWang,687653,seehan_chen
HuiChuWang,655936,svradio
Hupesoftman,676051,long_bonus_m5
Icyballband,671980,svradio
JEZhang,638340,TheBedroomOutBurst
Jabbertu,668414,Dean829
Jabbertu,663657,dcdessy
Jabbertu,656244,kuanurboi
Jabbertu,655313,LoadingStory_Official
Jakelin33,646554,J_wang_29
Jinboismyname,672999,DJ_SONB3AT
Jinboismyname,672998,DJ_SONB3AT
Jinboismyname,669181,Albertlin512
Jinboismyname,662464,all_lee
Johnchen4real,682600,BigBullLazier
KOzZY,675447,AA320
KayC14,661951,doublejam
Kevinchen408,677842,x1nz
L8ching,676245,svradio
L8ching,673971,itsyourfault
L8ching,667707,lanting
L8ching,664231,AlphaChild1
L8ching,642721,anyonesthere
Leepa,671384,murkyghost
Leshia0428,667234,unaho
Leshia0428,666635,unaho
Lipzeo,661175,asd89918
Lipzeo,647729,asd89918
Locu5,642486,jojoyhc
MidisWonderland,666979,like_a_rolling_poem
MidisWonderland,637958,finemusic
Mo1028,652830,sparkling_rice_1cu
MrLH_Band,668493,Despair_Life
MrLH_Band,663731,Despair_Life
MrLH_Band,654258,Despair_Life
MrLH_Band,645258,Despair_Life
MrLH_Band,645255,Despair_Life
PoC,659434,cozmozsquad220
PuFFcorn,662990,konwang3
Rapguy,679725,chirunis123
Rooftopmob,663038,ZZ23217742
Skaraoke,655937,svradio
Softmiller,657991,51weeeeeeeeee
Softmiller,653350,51weeeeeeeeee
Softmiller,649929,51weeeeeeeeee
Softmiller,634457,faibaofibo
Sophiehu,681847,jj31415926
Sophiehu,654249,mi0210230
StevenYW,682567,ovatherain
StevenYW,677693,ovatherain
StevenYW,673832,ovatherain
StevenYW,665725,ovatherain
StevenYW,664984,ZEO_WATER
StevenYW,663998,ovatherain
StevenYW,658858,ovatherain
StevenYW,657145,ovatherain
TK_supremacy,643313,etmusic
TheAndyShow,674054,faibaofibo
Thehopend,651616,24prbl
Thehopend,647793,map000
Thehopend,633559,hengJoneshunnid
TransferStudent,675592,51weeeeeeeeee
William_ROLLyal,660736,im402lol
ZEO_WATER,643672,goldink0515
ZEO_WATER,643671,goldink0515
ZEO_WATER,643670,goldink0515
ZooeyWonder,682534,svradio
_pe630arl,652995,3llerymusic
_pe630arl,645030,Jabbertu
accusefive,640964,tz_yi
accusefive,633998,svradio
actuallyn,681959,tepc_music
ah_shu_shu,643272,Ricky_Hsu
alanchou12345,651672,gordon4x
alanchou12345,651421,imClare
andung1220,673179,unaho
andung1220,667234,unaho
andung1220,666635,unaho
angry_youth,643359,itsyourfault
anthony0926handsome,678800,albert_cobe
anthony0926handsome,670826,_lh__1999
anthony0926handsome,670822,_lh__1999
anthony0926handsome,661545,dena_chang
aprilred,672832,wring_out_laura
azDNorth,645733,Hupesoftman
b0002381,660718,k4990878
bboygemini,637275,locking794620
bboygemini,636534,flexkidz
blackie0713,653223,gigadrillmusic
blaire_ko,649739,SiriSimranKaur
bobistired,661663,falling_voice_vny
bobistired,634014,svradio
bradrlee,648926,Lilylu0917
butf,678924,a23630117
butf,676896,a23630117
butf,669766,a23630117
catsonslide2019,653350,51weeeeeeeeee
cbn6rbp,672067,young_sea_ecd
cbn6rbp,650548,chung_yeezy
chang_wu,682533,svradio
chang_wu,665502,dapunmusic
chang_wu,652149,janeeyrerose
chang_wu,648926,Lilylu0917
changriki,661396,itsbobo
changriki,660781,Joshhh
charlie86847095,657605,junyting1121
charlie86847095,656805,Kevinchen408
cityronin,660718,k4990878
cityronin,652034,svradio
cozmozsquad220,682116,birstyle236016
damp_meadow_qhn,675879,drogas
damp_meadow_qhn,675878,drogas
damp_meadow_qhn,656732,ymhxxsuan
dapunmusic,670536,seehan_chen
david07chiu,656391,KayC14
dayu0609,670791,hellovivianana
dayu0609,645663,tungtung88
dena_chang,654597,kireyung
dena_chang,652142,tru________d
dqdq212,668585,ape101129
dqdq212,661134,svradio
dusanaga,673936,aprilred
eijitao1110,679398,vitasoultaiwan
eric198853,670974,SaltyIan9527
eric198853,655940,svradio
errorfrequency,684137,asskid_errorfrequency
errorfrequency,676515,asskid_errorfrequency
errorfrequency,662567,asskid_errorfrequency
errorfrequency,659003,asskid_errorfrequency
errorfrequency,647251,asskid_errorfrequency
eyesggfresh,643058,leekru
faibaofibo,654471,capolife99
fancy_sun_jo,664012,Leepa
fancy_sun_jo,657756,listentotikchi
faye_official,673740,svradio
feiliup,667911,k0925678885
finemusic,684751,caitmagee
finemusic,661004,bemac
finemusic,652350,MAKILEE
finemusic,649597,_isthatericcc
fourpens,648507,ALONOAR
gabuiui,654974,DanielBlack870323
gaojiafeng,666792,ipotr0
gaoxiaogao,678954,svradio
goldink0515,666372,StevenYW
goldink0515,666373,StevenYW
goldink0515,666374,StevenYW
goldink0515,666376,StevenYW
goldink0515,666375,StevenYW
goldink0515,653691,StevenYW
goldink0515,637480,lil_happy_lif3
goodhoodbnd,657035,HuiChuWang
goodhoodbnd,650902,RobotSwing
goodhoodbnd,642251,RobotSwing
greeeeeeen,680011,thezofficial
greeeeeeen,659312,RIGband
h2o1996,674061,dayu0609
h2o1996,647736,peach_jaye_23
hanstsai,681822,moridot95official
harry08jo4pie,685552,Reece870203
hazenk1ng,665676,icy_fire_z1
hbdbilly,669110,kjtien
hengJoneshunnid,664478,mositilo
hilloper,658151,Frozon
hsienchinnng,665885,limitw
hu999123,635977,jailbird777
hu999123,635975,jailbird777
idan1111,645048,daffodil_1116
ill_mo,686210,like_a_rolling_poem
ill_mo,657548,obscureorchestra
ill_mo,635014,blowyourheart
im402lol,652919,alan8410
im402lol,642723,keepitrealmedia2019
imtyping_,664231,AlphaChild1
insecteens,645083,kokorolei
itsbobo,660871,changriki
itsyourfault,643363,angry_youth
itsyourfault,640657,Eriene
jamesjohanneschan,681435,hiimafreak
jamesjohanneschan,670932,ismtbroadcast
jamesjohanneschan,670931,ismtbroadcast
jamesjohanneschan,670930,ismtbroadcast
jamesjohanneschan,654026,sandwichfail
jing77697,687056,2second_band
jing77697,687052,2second_band
jing77697,687046,2second_band
jing77697,670270,A_SHENG_
jk911022,654052,hsijf0351
jk911022,646521,summerbeach0069
johnnnnnn,676028,FruitFarmers
johnnnnnn,668988,Rapguy
johnnnnnn,660922,Rapguy
johnnnnnn,648926,Lilylu0917
johnnnnnn,637481,lil_happy_lif3
junepan,656876,svradio
k4990878,668629,Kevinchen408
k4990878,667459,Kevinchen408
k4990878,656846,asdfghj8849
k87000214,648084,Hupesoftman
k87000214,639749,Hupesoftman
kacawswag,683432,squadaofficial
kalabebe,674427,wring_out_laura
kalabebe,668771,wring_out_laura
kalabebe,648084,Hupesoftman
kalabebe,639749,Hupesoftman
killerblood,634072,svradio
kingdomofrain,650944,chenghantw
kingdomofrain,648152,chenghantw
kingdomofrain,646552,chenghantw
