ID,音樂數,粉絲人數,追蹤中人數,身分(音樂人/認證音樂人),居住地
/0000/,0,12,7,會員,None
/012546398/,6,5,0,音樂人,None
/017649958/,1,6,6,音樂人,None
/062353387/,0,5,13,音樂人,None
/0925600506/,5,94,0,音樂人,臺中市
/0933977923/,3,16,4,音樂人,新竹市
/0989118107/,0,8,9,會員,None
/0o_coolbaby_o0/,4,62,0,音樂人,臺北市
/10018746/,4,124,21,音樂人,None
/1023yang/,2,239,35,認證音樂人,臺北市
/1046108630/,18,129,7,音樂人,廣東
/10751632/,0,2,2,會員,None
/1100ouo0011/,12,69,66,音樂人,花蓮縣
/1121mc/,0,45,85,會員,None
/1129chu/,1,36,50,音樂人,高雄市
/113113/,12,79,52,音樂人,河北
/1216summerwind/,1,104,70,音樂人,None
/1220kim/,0,25,48,會員,None
/1264943367/,0,1,16,會員,None
/13515127261/,14,"1,640",1,音樂人,江蘇
/138guo/,26,56,24,音樂人,None
/13956943190/,0,3,2,會員,None
/14production/,23,517,194,音樂人,None
/1528cmm/,0,2,1,會員,None
/157ccmm/,0,1,3,會員,臺北市
/17_MoreDaysz/,6,319,64,認證音樂人,臺北市
/187Gangsta/,0,79,15,音樂人,None
/1am842/,1,17,23,音樂人,新北市
/1chao/,21,"1,469",2,音樂人,基隆市
/1ts162/,1,82,2,音樂人,臺北市
/2008in335/,8,46,45,音樂人,None
/2012southmusic/,24,370,0,音樂人,None
/21st_Centry_Bored_Guys/,14,287,60,認證音樂人,臺中市
/221tree/,2,131,15,音樂人,None
/23240934/,4,71,27,音樂人,None
/24Frames/,18,54,1,音樂人,陝西
/24hzofficial/,5,181,0,認證音樂人,臺北市
/25043422/,5,"1,042",4,認證音樂人,臺中市
/25thparallel/,7,22,12,音樂人,臺北市
/26437111/,1,746,1,音樂人,北京
/26phi/,1,31,3,音樂人,新北市
/2KAI_414/,3,10,37,音樂人,臺中市
/2s1de/,1,41,1,音樂人,新北市
/328160827/,0,4,1,會員,None
/3350350/,20,108,35,音樂人,新北市
/38677384/,0,3,5,會員,None
/416roger/,4,47,37,音樂人,臺北市
/420ft/,0,84,55,會員,None
/447321187/,0,12,19,會員,None
/46GaNg/,1,12,0,音樂人,北京
/495683723/,2,16,63,音樂人,None
/4Dimspace/,1,21,0,音樂人,桃園市
/4vaaa/,0,1,6,會員,None
/50hz/,4,132,16,音樂人,臺北市
/5XL/,14,53,42,音樂人,None
/60512gash/,1,2,32,音樂人,臺南市
/728_xyz/,8,23,14,音樂人,臺北市
/75025901/,14,166,601,音樂人,None
/79511170/,4,8,0,音樂人,河北
/7u234/,9,4,2,音樂人,新北市
/801017/,0,16,39,會員,None
/8232269/,16,45,25,音樂人,None
/830202/,0,3,15,會員,None
/84540080/,1,24,28,音樂人,None
/87wuuuuuuuuuu/,12,55,2,音樂人,高雄市
/88Balaz/,87,"1,904",33,認證音樂人,臺北市
/899/,53,33,85,音樂人,None
/8lanlll/,3,42,35,音樂人,臺北市
/9403crew/,0,23,0,音樂人,臺中市
/98061/,0,2,4,會員,桃園市
/A27840172/,3,78,143,音樂人,None
/A2Dar/,0,7,8,音樂人,None
/A86612927/,2,91,0,音樂人,None
/A9PGP/,0,2,21,會員,臺北市
/AC9/,2,31,37,音樂人,新北市
/ADONISLi/,0,3,1,會員,None
/AG1981/,19,559,3,音樂人,None
/AHAHAH/,9,72,2,音樂人,宜蘭縣
/AK1RA/,0,3,10,會員,None
/AKAU05/,0,11,0,音樂人,None
/ALBEE_7/,0,7,45,會員,None
/ALroen9631/,14,59,70,音樂人,臺中市
/ANWIYCTI/,11,111,0,音樂人,None
/AQ4SURE/,4,15,8,音樂人,高雄市
/ARVAN_THE_BAND/,11,31,0,音樂人,馬來西亞
/ATWGirl/,9,58,8,音樂人,None
/ATii/,12,11,0,音樂人,新北市
/Ableton_Live_CT_fishthe/,5,30,3,音樂人,None
/AcecA/,0,30,12,會員,None
