musicianID,followerCNT,followingCNT
/0000/,12,7
/012546398/,5,0
/017649958/,6,6
/062353387/,5,13
/0925600506/,94,0
/0933977923/,16,4
/0989118107/,8,9
/0o_coolbaby_o0/,62,0
/10018746/,124,21
/1023yang/,239,35
/1046108630/,129,7
/10751632/,2,2
/1100ouo0011/,69,66
/1121mc/,45,85
/1129chu/,36,50
/113113/,79,52
/1216summerwind/,104,70
/1220kim/,25,48
/1264943367/,1,16
/13515127261/,1638,1
/138guo/,56,24
/13956943190/,3,2
/14production/,517,194
/1528cmm/,2,1
/157ccmm/,1,3
/17_MoreDaysz/,319,64
/187Gangsta/,79,15
/1am842/,17,23
/1chao/,1468,2
/1ts162/,81,2
/2008in335/,46,45
/2012southmusic/,370,0
/21st_Centry_Bored_Guys/,286,60
/221tree/,131,15
/23240934/,71,27
/24Frames/,54,1
/24hzofficial/,181,0
/25043422/,1042,4
/25thparallel/,22,12
/26437111/,746,1
/26phi/,31,3
/2KAI_414/,10,37
/2s1de/,41,1
/328160827/,4,1
/3350350/,108,35
/38677384/,3,5
/416roger/,47,37
/420ft/,84,55
/447321187/,12,19
/46GaNg/,12,0
/495683723/,16,63
/4Dimspace/,21,0
/4vaaa/,1,6
/50hz/,132,16
/5XL/,53,42
/60512gash/,2,32
/728_xyz/,22,14
/75025901/,166,601
/79511170/,8,0
/7u234/,4,2
/801017/,16,39
/8232269/,45,25
/830202/,3,15
/84540080/,24,28
/87wuuuuuuuuuu/,55,2
/88Balaz/,1904,33
/899/,33,85
/8lanlll/,42,35
/9403crew/,23,0
/98061/,2,4
/A27840172/,78,143
/A2Dar/,7,8
/A86612927/,91,0
/A9PGP/,2,21
/AC9/,31,37
/ADONISLi/,3,1
/AG1981/,559,3
/AHAHAH/,72,2
/AK1RA/,3,10
/AKAU05/,11,0
/ALBEE_7/,7,45
/ALroen9631/,59,70
/ANWIYCTI/,111,0
/AQ4SURE/,15,8
/ARVAN_THE_BAND/,31,0
/ATWGirl/,58,8
/ATii/,11,0
/Ableton_Live_CT_fishthe/,30,3
/AcecA/,30,12
/Adamschang/,48,11
/Addiction/,33,58
/Aeolian23/,7,11
/Aerobicoasis/,80,15
/Agnesband/,104,0
/AhLiang3bug4/,16,12
/Aimee0724/,24,7
/AirDoll/,433,0
/Airei/,3,3
/Ajourney/,26,0
/Akaaga/,1,1
/Albertlin512/,9,3
/Aldric/,111,254
/Allen_Hsieh/,2,14
/Alleysmusic/,113,23
/Amatistic/,165,4
/Amido/,31,37
/Amisa/,13,6
/Amusing_Amy/,411,10
/AnalogyThoreau/,766,0
/AnnaChong_714/,119,4
/AntiDogs/,261,5
/Antress/,48,0
/AplusCrewCDC/,256,163
/April_20/,5250,0
/ArBChiang/,4,5
/Ashan/,7,2
/AstridStars/,111,4
/B1band/,136,9
/BABYNAL/,9,15
/BABY_CINDY/,103,1
/BAT_1/,59,6
/BBPPC168/,9,16
/BEE17/,4,7
/BIGGUN47/,4,19
/BIGPerry/,34,62
/BLACKLIVER/,69,5
/BMAX13official/,196,7
/BMC/,288,19
/BMCMCOA/,31,27
/BMTtouch/,1,1
/Badsweetheart/,795,10
/BalladMan/,23,69
/BallerHolic/,22,24
/BananaCodi0225/,4,99
/Baobu_Badulu/,142,0
/Barbarian_tw/,48,7
/Bazy_WestCoast/,21,10
/BeTrash/,10171,71
/Bebopkids/,163,14
/BenisonKan/,131,10
