musicianID,followerCNT,followingCNT
/Acedalan/,85,12
/ENWHY/,76,78
/peterfish/,148,11
/mandark/,3424,25
/kkee12345/,37,28
/rnbconey/,214,22
/AlfaGallagher/,666,3
/gordon4x/,3710,45
/hanating_dd/,75,41
/AOIMUSHIBAND/,4991,45
/coachingcao/,45,5
/thisisSYA/,474,26
/pilot/,277,96
/stravinskywithglasses/,151,8
/AnnieTaco/,577,24
/wearenuts20201118/,360,3
/accusefive/,74200,16
/faibaofibo/,451,22
/CuifengWizard54/,207,28
/AngelHeartBand/,117,0
/danniyeats/,1160,3
/Hao526/,647,1
/rebecca1015/,155,7
/NOband/,852,15
/LoadingStory_Official/,440,6
/Tsuei_Man_Show/,86,0
/DayDayDavis/,263,6
/m870925/,102,29
/HandyLee/,166,36
/dannyhungssss/,40,9
/nightkeepers2015/,15219,10
/Onstudio/,9325,30
/MrLH_Band/,47,17
/dennischang/,2535,14
/Rapguy/,5205,0
/tristanw711kb/,15,4
/Micolna/,20,1
/Red_pimp/,162,3
/nonconfinedspace/,172,27
/feiliup/,152,1
/GavinOTK4L/,47,6
/jihumusic/,614,8
/hanahsu/,59,0
/styoung/,55,13
/rapsberry/,147,0
/mibsBMty330/,359,42
/Hupesoftman/,807,60
/azDNorth/,323,3
/zack_lee/,17,7
/anewanew2019/,171,3
/yung_chiao/,162,46
/OvertoneTW/,637,279
/luhongzhi/,23,9
/acidmarie/,823,0
/handkdope/,69,8
/patrickjohnlu/,82,2
/Iron_Punch_band/,4535,11
/jillstark/,214,37
/sandrali/,62,2
/therealneilfletcher/,305,1
/6XT7/,331,0
/linyuchang/,903,13
/JEZhang/,109,1
/david07chiu/,36,6
/Chih1012/,355,20
/99Vintage/,39,2
/teresa1010159/,836,123
/ovdstw/,919,37
/chenghantw/,206,0
/Norton_Street/,404,0
/rennnnnn_____/,387,11
/wavesdoppler/,477,19
/Adam_1213/,277,29
/city_island/,34,11
/pihairyan/,1135,2
/banyangang/,3913,16
/placebo_ct/,852,11
/ucmusic/,35,46
/jamesjohanneschan/,788,15
/owfband/,67,4
/Noodles20170423/,493,3
/howeazy242/,8945,16
/evil022389/,33,1
/REX_bbk/,291,16
/24prbl/,568,18
/obiwan1103/,4332,0
/imtyping_/,264,7
/llccltheband/,2914,0
/3rdAPark/,108,5
/ISQ4/,293,0
/chang_wu/,584,0
/falavanapperxxx/,18,0
/jackysu223/,3821,53
/Haormusic/,1035,15
/s28765921/,594,0
/everfor/,2353,12
/yxl0730nobody/,2814,91
/24hoshi_/,23,9
/AXin_80hz/,33,1
/sunk1s/,1115,1
/chenxen/,30,6
/dsa265302/,44,6
/Thehopend/,7466,2
/vincent_hsu/,252,5
/hsinchen0002/,47,1
/Leshia0428/,433,13
/cholewis/,34,1
/HYX1113/,258,3
/cornyjw/,6,5
/yingdaguagua/,309,5
/CathedralSanchez/,23,0
/Softmiller/,237,122
/hiphoppuffs/,43,4
/123lidingding/,79,1
/eijitao1110/,659,10
/Xiuyu_studio/,30,6
/EastWaveBand/,2680,0
/andung1220/,11408,2
/goldfishbrain/,222,1
/QueenQuinn/,572,0
/zenbothasizip/,1135,33
/wayneband2019/,963,0
/simonfromlantown/,321,11
/Oberka/,58,4
/map000/,183,4
/Haoceler/,65,27
/970zhaozhao/,161,13
/depositionclub/,119,3
/djmykal/,210,14
/DizzyDizzo/,123,0
/franklintelescope/,117,0
/redhung_10/,1336,2
/TaborYang/,3,6
/jyinthahouse/,409,1
/chenx3/,159,0
/madeinbackstation/,5169,6
/Myloverseyes18/,4661,0
/Treeneighbor/,20,2
/crybabymush/,4,1
/GIGO_psycho/,771,1
/nauhuang/,1103,8
/dapunmusic/,45,1
/zealots_45/,300,0
/somemusic/,78,0
/love78love87/,365,27
/junglemico/,260,1
/dadenglu/,556,0
/The_Time/,104,4
/alanchou12345/,4433,5
/coujfever/,212,0
/shoumethemoneyxx/,5538,0
/CHIUPI/,2432,0
/dena_chang/,376,1
/floatrist/,44,6
/cozmozsquad220/,179,2
/HsiaoLin/,124,14
/jw612/,46,4
/MilkWhite/,2537,7
/tammyvoice/,104,2
/baifiasili/,152,36
/oddiiiiiwu/,78,3
/datsdashit/,1474,33
/bibbyhh/,76,4
/LeeSunWang/,1318,1
/eveyichenmusic/,367,0
/limgiong/,2186,98
/KOzZY/,40,15
/LEYUNHSU/,22,3
/depbread/,151,2
/darkparadise/,580,8
/MrCotton/,102,19
/damp_meadow_qhn/,299,12
/Fe_N/,10,2
/gaojiafeng/,1074,4
/Wadepunk/,88,44
/felixanshen/,689,1
/zz045849/,30,9
/bobistired/,2948,44
/sweetjohnband/,33793,12
/LexieLiu/,8761,0
/left7792/,37604,12
/BLUERINGLAMB/,22,108
/moriiimusic/,2261,57
/wangshun2086/,992,19
/willy0430/,306,7
/cbn6rbp/,94,42
/y310/,9490,0
/neonerostw/,1617,40
/85youngdope/,124,85
/ill_mo/,2748,3
/mcdouble8/,328,0
/idan1111/,26,3
/WithinTheFlames/,231,13
/gabuiui/,266,25
/primary/,166,0
/katsujilo/,732,0
/hanstsai/,66,8
/hu999123/,866,24
/Syofang/,61,0
/catsonslide2019/,395,8
/leowangmorrison/,14246,0
/Jabbertu/,6410,58
/gac900423/,9,0
/mafana/,847,7
/Karz99/,166,41
/prisminbasin/,103,0
/chinggsquadofficial/,1874,0
/cream_music/,1,0
/homerich_918/,53,1
/tyntbandhk/,73,4
/DAWAV/,91,0
